YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2015,1,ALBANIA,LA,6785.255,690,FALSE
2015,1,ARMENIA,UD,14830.448,739,FALSE
2015,1,AUSTRIA,LO,174229.083,12691,FALSE
2015,1,BELGIUM,EB,290543.913,11819,FALSE
2015,1,BOSNIA AND HERZEGOVINA,LQ,3580.2960000000003,461,FALSE
2015,1,BULGARIA,LB,27621.043,1998,FALSE
2015,1,CANARY ISLANDS,GC,289049.846,13679,FALSE
2015,1,CROATIA,LD,12773.189,1945,FALSE
2015,1,CYPRUS,LC,32612.534,1421,FALSE
2015,1,CZECHIA,LK,56564.278,4656,FALSE
2015,1,DENMARK,EK,197336.63,12315,TRUE
2015,1,FINLAND,EF,175969.96,9095,FALSE
2015,1,FRANCE,LF,1542301.191,67356,FALSE
2015,1,GEORGIA,UG,15258.655,859,FALSE
2015,1,GERMANY,ED,2118276.435,77735,FALSE
2015,1,GREECE,LG,98107.802,10212,FALSE
2015,1,HUNGARY,LH,46887.104,3454,FALSE
2015,1,ICELAND,BI,17493.484,1466,FALSE
2015,1,IRELAND,EI,142086.14,8549,FALSE
2015,1,ITALY,LI,840651.603,54147,FALSE
2015,1,KOSOVO,BK,6666.903,542,FALSE
2015,1,LATVIA,EV,24329.832000000002,2408,FALSE
2015,1,LITHUANIA,EY,19863.311,1861,FALSE
2015,1,LUXEMBOURG,EL,93069.319,2122,FALSE
2015,1,MALTA,LM,19920.196,1208,FALSE
2015,1,"MOLDOVA, REPUBLIC OF",LU,9638.025,842,FALSE
2015,1,MONACO,LN,22.335,34,FALSE
2015,1,MONTENEGRO,LY,4494.714,517,FALSE
2015,1,NETHERLANDS,EH,777362.317,19716,FALSE
2015,1,NORTH MACEDONIA,LW,5936.977,496,FALSE
2015,1,NORWAY,EN,222134.675,29921,TRUE
2015,1,POLAND,EP,142730.699,12141,FALSE
2015,1,PORTUGAL,LP,254327.163,11606,TRUE
2015,1,ROMANIA,LR,70882.846,5434,FALSE
2015,1,SERBIA,LY,24765.48,2400,FALSE
2015,1,SLOVAKIA,LZ,6610.643,813,FALSE
2015,1,SLOVENIA,LJ,7181.2660000000005,1063,FALSE
2015,1,SPAIN,LE,846081.015,42362,FALSE
2015,1,SWEDEN,ES,226459.631,19593,FALSE
2015,1,SWITZERLAND,LS,402015.817,20105,FALSE
2015,1,TÜRKIYE,LT,869037.024,42044,FALSE
2015,1,UNITED KINGDOM,EG,2496387.314,83147,TRUE
2015,2,ALBANIA,LA,5781.615000000001,620,FALSE
2015,2,ARMENIA,UD,12869.366,656,FALSE
2015,2,AUSTRIA,LO,157487.295,12301,FALSE
2015,2,BELGIUM,EB,274787.231,11585,FALSE
2015,2,BOSNIA AND HERZEGOVINA,LQ,3219.998,403,FALSE
2015,2,BULGARIA,LB,25533.197,1916,FALSE
2015,2,CANARY ISLANDS,GC,261071.197,12677,FALSE
2015,2,CROATIA,LD,11798.109,1782,FALSE
2015,2,CYPRUS,LC,30097.116,1303,FALSE
2015,2,CZECHIA,LK,50439.17,4329,FALSE
2015,2,DENMARK,EK,188042.848,12520,TRUE
2015,2,FINLAND,EF,163471.137,9407,FALSE
2015,2,FRANCE,LF,1409253.775,65358,FALSE
2015,2,GEORGIA,UG,13097.776,744,FALSE
2015,2,GERMANY,ED,1940940.211,77230,FALSE
2015,2,GREECE,LG,88850.967,9094,FALSE
2015,2,HUNGARY,LH,43059.057,3270,FALSE
2015,2,ICELAND,BI,15931.198,1309,FALSE
2015,2,IRELAND,EI,128904.921,8118,FALSE
2015,2,ITALY,LI,752810.064,50225,FALSE
2015,2,KOSOVO,BK,5134.5650000000005,449,FALSE
2015,2,LATVIA,EV,21792.003,2109,FALSE
2015,2,LITHUANIA,EY,17036.771,1818,FALSE
2015,2,LUXEMBOURG,EL,93412.797,2103,FALSE
2015,2,MALTA,LM,18464.249,1165,FALSE
2015,2,"MOLDOVA, REPUBLIC OF",LU,7436.233,707,FALSE
2015,2,MONACO,LN,18.539,29,FALSE
2015,2,MONTENEGRO,LY,3788.762,456,FALSE
2015,2,NETHERLANDS,EH,710140.464,19502,FALSE
2015,2,NORTH MACEDONIA,LW,5029.706,443,FALSE
2015,2,NORWAY,EN,212953.911,28864,TRUE
2015,2,POLAND,EP,131927.522,11667,FALSE
2015,2,PORTUGAL,LP,223481.407,10485,TRUE
2015,2,ROMANIA,LR,65482.638,5302,FALSE
2015,2,SERBIA,LY,21691.925,2117,FALSE
2015,2,SLOVAKIA,LZ,6184.524,847,FALSE
2015,2,SLOVENIA,LJ,6554.926,978,FALSE
2015,2,SPAIN,LE,792647.799,40839,FALSE
2015,2,SWEDEN,ES,220567.182,20529,FALSE
2015,2,SWITZERLAND,LS,358922.475,18506,FALSE
2015,2,TÜRKIYE,LT,780558.546,38308,FALSE
2015,2,UNITED KINGDOM,EG,2276651.732,81377,TRUE
2015,3,ALBANIA,LA,6771.908,721,FALSE
2015,3,ARMENIA,UD,14783.733,763,FALSE
2015,3,AUSTRIA,LO,185802.864,14397,FALSE
2015,3,BELGIUM,EB,315821.251,13205,FALSE
2015,3,BOSNIA AND HERZEGOVINA,LQ,3998.302,477,FALSE
2015,3,BULGARIA,LB,27916.992,2128,FALSE
2015,3,CANARY ISLANDS,GC,291870.438,13816,FALSE
2015,3,CROATIA,LD,14991.176,2157,FALSE
2015,3,CYPRUS,LC,40530.127,1706,FALSE
2015,3,CZECHIA,LK,62467.340000000004,5300,FALSE
2015,3,DENMARK,EK,223888.811,14773,TRUE
2015,3,FINLAND,EF,184859.107,10880,FALSE
2015,3,FRANCE,LF,1607496.863,76639,FALSE
2015,3,GEORGIA,UG,16478.079,882,FALSE
2015,3,GERMANY,ED,2270626.42,90202,FALSE
2015,3,GREECE,LG,107444.301,10721,FALSE
2015,3,HUNGARY,LH,50652.068,3831,FALSE
2015,3,ICELAND,BI,20946.974,1566,FALSE
2015,3,IRELAND,EI,156255.119,9431,FALSE
