FLIGHT_MONTH,YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2025-01-01,2025,1,ALBANIA,LA,30703.82086,2269,FALSE
2025-01-01,2025,1,ARMENIA,UD,34212.18472,1573,FALSE
2025-01-01,2025,1,AUSTRIA,LO,210320.09268,12021,FALSE
2025-01-01,2025,1,BELGIUM,EB,436256.45084,11454,FALSE
2025-01-01,2025,1,BOSNIA AND HERZEGOVINA,LQ,8146.31714,818,FALSE
2025-01-01,2025,1,BULGARIA,LB,46529.50332,3064,FALSE
2025-01-01,2025,1,CANARY ISLANDS,GC,375463.65098,19725,FALSE
2025-01-01,2025,1,CROATIA,LD,21290.52774,2593,FALSE
2025-01-01,2025,1,CYPRUS,LC,50713.35122,2671,FALSE
2025-01-01,2025,1,CZECHIA,LK,82466.59228,4944,FALSE
2025-01-01,2025,1,DENMARK,EK,219148.30186,11664,TRUE
2025-01-01,2025,1,ESTONIA,EE,13996.09968,1547,FALSE
2025-01-01,2025,1,FINLAND,EF,196444.41652,8899,FALSE
2025-01-01,2025,1,FRANCE,LF,1619035.183,62703,FALSE
2025-01-01,2025,1,GEORGIA,UG,59888.97556,2418,FALSE
2025-01-01,2025,1,GERMANY,ED,2012215.00902,65718,FALSE
2025-01-01,2025,1,GREECE,LG,150274.6405,13772,FALSE
2025-01-01,2025,1,HUNGARY,LH,131072.28834,5243,FALSE
2025-01-01,2025,1,ICELAND,BI,27962.1358,1552,FALSE
2025-01-01,2025,1,IRELAND,EI,194977.442,10093,FALSE
2025-01-01,2025,1,ITALY,LI,1042222.83998,57685,FALSE
2025-01-01,2025,1,KOSOVO,BK,17619.00028,1213,FALSE
2025-01-01,2025,1,LATVIA,EV,28845.65308,2281,FALSE
2025-01-01,2025,1,LITHUANIA,EY,30198.2376,2274,FALSE
2025-01-01,2025,1,LUXEMBOURG,EL,145211.1181,2368,FALSE
2025-01-01,2025,1,MALTA,LM,35963.44376,2408,FALSE
2025-01-01,2025,1,"MOLDOVA, REPUBLIC OF",LU,21648.1005,1307,FALSE
2025-01-01,2025,1,MONACO,LN,11.95744,17,FALSE
2025-01-01,2025,1,MONTENEGRO,LY,4776.21372,631,FALSE
2025-01-01,2025,1,NETHERLANDS,EH,818256.92706,23017,FALSE
2025-01-01,2025,1,NORTH MACEDONIA,LW,11295.78656,913,FALSE
2025-01-01,2025,1,NORWAY,EN,199780.67752,24739,TRUE
2025-01-01,2025,1,POLAND,EP,322259.09232,17869,FALSE
2025-01-01,2025,1,PORTUGAL,LP,399784.24498,16725,TRUE
2025-01-01,2025,1,ROMANIA,LR,119427.95988,8038,FALSE
2025-01-01,2025,1,SERBIA,LY,45830.7929,3335,FALSE
2025-01-01,2025,1,SLOVAKIA,LZ,11419.37134,937,FALSE
2025-01-01,2025,1,SLOVENIA,LJ,5779.35836,816,FALSE
2025-01-01,2025,1,SPAIN,LE,1313643.70968,58786,FALSE
2025-01-01,2025,1,SWEDEN,ES,158406.17284,12769,FALSE
2025-01-01,2025,1,SWITZERLAND,LS,448669.2859,19426,FALSE
2025-01-01,2025,1,TÜRKIYE,LT,1419807.0892,52986,FALSE
2025-01-01,2025,1,UNITED KINGDOM,EG,2659281.43964,78842,TRUE
2025-02-01,2025,2,ALBANIA,LA,26993.07894,2034,FALSE
2025-02-01,2025,2,ARMENIA,UD,25633.68932,1181,FALSE
2025-02-01,2025,2,AUSTRIA,LO,197047.40932,11822,FALSE
2025-02-01,2025,2,BELGIUM,EB,402711.90924,10989,FALSE
2025-02-01,2025,2,BOSNIA AND HERZEGOVINA,LQ,7138.78052,743,FALSE
2025-02-01,2025,2,BULGARIA,LB,43534.88828,2880,FALSE
2025-02-01,2025,2,CANARY ISLANDS,GC,357230.0049,18714,FALSE
2025-02-01,2025,2,CROATIA,LD,18773.0487,2411,FALSE
2025-02-01,2025,2,CYPRUS,LC,47209.4017,2353,FALSE
2025-02-01,2025,2,CZECHIA,LK,81099.7306,5079,FALSE
2025-02-01,2025,2,DENMARK,EK,205114.8478,11424,TRUE
2025-02-01,2025,2,ESTONIA,EE,13760.04486,1488,FALSE
2025-02-01,2025,2,FINLAND,EF,183227.2434,8539,FALSE
2025-02-01,2025,2,FRANCE,LF,1497042.5372,62032,FALSE
2025-02-01,2025,2,GEORGIA,UG,53289.7998,2108,FALSE
2025-02-01,2025,2,GERMANY,ED,1844622.89534,64621,FALSE
2025-02-01,2025,2,GREECE,LG,138188.60034,12808,FALSE
2025-02-01,2025,2,HUNGARY,LH,119825.01212,4916,FALSE
2025-02-01,2025,2,ICELAND,BI,22888.81524,1384,FALSE
2025-02-01,2025,2,IRELAND,EI,182985.80528,9737,FALSE
2025-02-01,2025,2,ITALY,LI,974328.66038,55829,FALSE
2025-02-01,2025,2,KOSOVO,BK,14448.5786,1003,FALSE
2025-02-01,2025,2,LATVIA,EV,26615.55576,2075,FALSE
2025-02-01,2025,2,LITHUANIA,EY,28648.605900000002,2144,FALSE
2025-02-01,2025,2,LUXEMBOURG,EL,127496.2527,2344,FALSE
2025-02-01,2025,2,MALTA,LM,36131.73708,2324,FALSE
2025-02-01,2025,2,"MOLDOVA, REPUBLIC OF",LU,18341.85022,1124,FALSE
2025-02-01,2025,2,MONACO,LN,14.46332,21,FALSE
2025-02-01,2025,2,MONTENEGRO,LY,3886.68494,535,FALSE
2025-02-01,2025,2,NETHERLANDS,EH,762025.21782,22773,FALSE
2025-02-01,2025,2,NORTH MACEDONIA,LW,9154.362000000001,728,FALSE
2025-02-01,2025,2,NORWAY,EN,195537.4765,23881,TRUE
2025-02-01,2025,2,POLAND,EP,289866.13864,17226,FALSE
2025-02-01,2025,2,PORTUGAL,LP,372769.88366,16312,TRUE
2025-02-01,2025,2,ROMANIA,LR,105955.56578,7430,FALSE
2025-02-01,2025,2,SERBIA,LY,38316.92132,2912,FALSE
2025-02-01,2025,2,SLOVAKIA,LZ,10623.96528,975,FALSE
2025-02-01,2025,2,SLOVENIA,LJ,5555.33432,761,FALSE
2025-02-01,2025,2,SPAIN,LE,1247288.93926,59237,FALSE
2025-02-01,2025,2,SWEDEN,ES,153769.25442,13241,FALSE
2025-02-01,2025,2,SWITZERLAND,LS,420768.53356,19297,FALSE
2025-02-01,2025,2,TÜRKIYE,LT,1222029.2471,45098,FALSE
2025-02-01,2025,2,UNITED KINGDOM,EG,2478432.5974,79447,TRUE
2025-03-01,2025,3,ALBANIA,LA,31655.63958,2355,FALSE
2025-03-01,2025,3,ARMENIA,UD,31069.44548,1406,FALSE
2025-03-01,2025,3,AUSTRIA,LO,227058.64828,13587,FALSE
2025-03-01,2025,3,BELGIUM,EB,479386.0691,12825,FALSE
2025-03-01,2025,3,BOSNIA AND HERZEGOVINA,LQ,8282.14134,826,FALSE
2025-03-01,2025,3,BULGARIA,LB,49203.198300000004,3269,FALSE
2025-03-01,2025,3,CANARY ISLANDS,GC,411580.61548,21894,FALSE
2025-03-01,2025,3,CROATIA,LD,25124.5903,3025,FALSE
2025-03-01,2025,3,CYPRUS,LC,61703.8439,2945,FALSE
2025-03-01,2025,3,CZECHIA,LK,96088.18816,6099,FALSE
2025-03-01,2025,3,DENMARK,EK,237850.47882,13497,TRUE
2025-03-01,2025,3,ESTONIA,EE,16772.664,1765,FALSE
2025-03-01,2025,3,FINLAND,EF,197514.61282,9455,FALSE
