YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2018,1,ALBANIA,LA,10624.795,1023,FALSE
2018,1,ARMENIA,UD,16790.18,875,FALSE
2018,1,AUSTRIA,LO,185282.887,12581,FALSE
2018,1,BELGIUM,EB,348121.397,12397,FALSE
2018,1,BOSNIA AND HERZEGOVINA,LQ,6151.017000000001,572,FALSE
2018,1,BULGARIA,LB,42324.813,2753,FALSE
2018,1,CANARY ISLANDS,GC,329211.439,16897,FALSE
2018,1,CROATIA,LD,19749.347,2251,FALSE
2018,1,CYPRUS,LC,43775.981,1987,FALSE
2018,1,CZECHIA,LK,82409.291,5834,FALSE
2018,1,DENMARK,EK,223764.303,13495,TRUE
2018,1,ESTONIA,EE,14131.86,1813,FALSE
2018,1,FINLAND,EF,204705.973,10875,FALSE
2018,1,FRANCE,LF,1615818.475,70230,FALSE
2018,1,GEORGIA,UG,26979.99,1358,FALSE
2018,1,GERMANY,ED,2234919.542,82826,FALSE
2018,1,GREECE,LG,129049.134,11377,FALSE
2018,1,HUNGARY,LH,66374.489,4415,FALSE
2018,1,ICELAND,BI,41921.383,1812,FALSE
2018,1,IRELAND,EI,202897.152,10115,FALSE
2018,1,ITALY,LI,951849.686,54167,FALSE
2018,1,KOSOVO,BK,8317.442000000001,626,FALSE
2018,1,LATVIA,EV,31399.296,3033,FALSE
2018,1,LITHUANIA,EY,26721.868000000002,2261,FALSE
2018,1,LUXEMBOURG,EL,141834.939,2774,FALSE
2018,1,MALTA,LM,28521.427,1783,FALSE
2018,1,"MOLDOVA, REPUBLIC OF",LU,13452.114,962,FALSE
2018,1,MONACO,LN,12.982000000000001,20,FALSE
2018,1,MONTENEGRO,LY,5036.965,602,FALSE
2018,1,NETHERLANDS,EH,863695.281,23367,FALSE
2018,1,NORTH MACEDONIA,LW,9377.081,689,FALSE
2018,1,NORWAY,EN,229227.269,28176,TRUE
2018,1,POLAND,EP,212069.977,15533,FALSE
2018,1,PORTUGAL,LP,321100.786,15148,TRUE
2018,1,ROMANIA,LR,100764.328,7389,FALSE
2018,1,SERBIA,LY,27750.741,2365,FALSE
2018,1,SLOVAKIA,LZ,9868.201000000001,1072,FALSE
2018,1,SLOVENIA,LJ,8017.992,1271,FALSE
2018,1,SPAIN,LE,1080461.495,51053,FALSE
2018,1,SWEDEN,ES,269917.32,21724,FALSE
2018,1,SWITZERLAND,LS,455931.769,20340,FALSE
2018,1,TÜRKIYE,LT,1045189.578,49317,FALSE
2018,1,UNITED KINGDOM,EG,2745735.479,89923,TRUE
2018,2,ALBANIA,LA,7922.322,785,FALSE
2018,2,ARMENIA,UD,14935.907,744,FALSE
2018,2,AUSTRIA,LO,173503.43,12110,FALSE
2018,2,BELGIUM,EB,313810.207,11876,FALSE
2018,2,BOSNIA AND HERZEGOVINA,LQ,5376.781,497,FALSE
2018,2,BULGARIA,LB,38532.503,2470,FALSE
2018,2,CANARY ISLANDS,GC,304925.633,15588,FALSE
2018,2,CROATIA,LD,17366.078,2032,FALSE
2018,2,CYPRUS,LC,43110.863,1939,FALSE
2018,2,CZECHIA,LK,75623.10800000001,5623,FALSE
2018,2,DENMARK,EK,208547.012,13381,TRUE
2018,2,ESTONIA,EE,12985.66,1754,FALSE
2018,2,FINLAND,EF,190921.898,10294,FALSE
2018,2,FRANCE,LF,1455503.035,65664,FALSE
2018,2,GEORGIA,UG,23197.021,1217,FALSE
2018,2,GERMANY,ED,2074553.507,81834,FALSE
2018,2,GREECE,LG,112009.435,10131,FALSE
2018,2,HUNGARY,LH,59884.94,4018,FALSE
2018,2,ICELAND,BI,34089.933,1536,FALSE
2018,2,IRELAND,EI,178881.019,9247,FALSE
2018,2,ITALY,LI,857372.433,49678,FALSE
2018,2,KOSOVO,BK,6899.499000000001,512,FALSE
2018,2,LATVIA,EV,27955.386,2718,FALSE
2018,2,LITHUANIA,EY,23650.898,2087,FALSE
2018,2,LUXEMBOURG,EL,122279.872,2595,FALSE
2018,2,MALTA,LM,25530.897,1613,FALSE
2018,2,"MOLDOVA, REPUBLIC OF",LU,11221.842,834,FALSE
2018,2,MONACO,LN,5.0360000000000005,8,FALSE
2018,2,MONTENEGRO,LY,4281.814,513,FALSE
2018,2,NETHERLANDS,EH,792741.711,22749,FALSE
