YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2012,1,ALBANIA,LA,8423.29,911,FALSE
2012,1,ARMENIA,UD,15565.678,774,FALSE
2012,1,AUSTRIA,LO,177093.569,14128,FALSE
2012,1,BELGIUM,EB,296479.135,11546,FALSE
2012,1,BOSNIA AND HERZEGOVINA,LQ,2163.902,406,FALSE
2012,1,BULGARIA,LB,27041.956,1986,FALSE
2012,1,CANARY ISLANDS,GC,272788.98,14365,FALSE
2012,1,CROATIA,LD,10992.973,1823,FALSE
2012,1,CYPRUS,LC,40847.361,1623,FALSE
2012,1,CZECHIA,LK,72357.033,5780,FALSE
2012,1,DENMARK,EK,190317.43,13455,TRUE
2012,1,FINLAND,EF,183899.422,11381,FALSE
2012,1,FRANCE,LF,1522719.211,74781,FALSE
2012,1,GERMANY,ED,2152077.864,82825,FALSE
2012,1,GREECE,LG,99487.221,10340,FALSE
2012,1,HUNGARY,LH,47110.767,3951,FALSE
2012,1,ICELAND,BI,10592.602,1315,FALSE
2012,1,IRELAND,EI,123356.634,7931,FALSE
2012,1,ITALY,LI,866728.188,58320,FALSE
2012,1,KOSOVO,BK,7847.154,648,FALSE
2012,1,LATVIA,EV,23960.424,2530,FALSE
2012,1,LIECHTENSTEIN,LS,0.63,1,FALSE
2012,1,LITHUANIA,EY,16132.832,1619,FALSE
2012,1,LUXEMBOURG,EL,83884.387,2033,FALSE
2012,1,MALTA,LM,16746.253,982,FALSE
2012,1,"MOLDOVA, REPUBLIC OF",LU,5197.211,538,FALSE
2012,1,MONACO,LN,20.645,29,FALSE
2012,1,MONTENEGRO,LY,3293.1890000000003,506,FALSE
2012,1,NETHERLANDS,EH,734260.228,20377,FALSE
2012,1,NORTH MACEDONIA,LW,4044.139,455,FALSE
2012,1,NORWAY,EN,199144.62,30646,TRUE
2012,1,POLAND,EP,113721.94,11695,FALSE
2012,1,PORTUGAL,LP,222936.425,10721,TRUE
2012,1,ROMANIA,LR,61897.69,5548,FALSE
2012,1,SERBIA,LY,15132.04,1757,FALSE
2012,1,SLOVAKIA,LZ,6446.445000000001,890,FALSE
2012,1,SLOVENIA,LJ,7839.027,1166,FALSE
2012,1,SPAIN,LE,890843.318,48526,FALSE
2012,1,SWEDEN,ES,218084.651,20600,FALSE
2012,1,SWITZERLAND,LS,390893.185,20830,FALSE
2012,1,TÜRKIYE,LT,589891.576,30649,FALSE
2012,1,UNITED KINGDOM,EG,2421410.016,83068,TRUE
2012,2,ALBANIA,LA,6361.767000000001,713,FALSE
2012,2,ARMENIA,UD,13334.045,683,FALSE
2012,2,AUSTRIA,LO,172265.097,13992,FALSE
2012,2,BELGIUM,EB,297519.855,11802,FALSE
2012,2,BOSNIA AND HERZEGOVINA,LQ,1779.662,357,FALSE
2012,2,BULGARIA,LB,24670.387000000002,1808,FALSE
2012,2,CANARY ISLANDS,GC,253097.228,13294,FALSE
2012,2,CROATIA,LD,9912.5,1616,FALSE
2012,2,CYPRUS,LC,40651.906,1562,FALSE
2012,2,CZECHIA,LK,61511.367,5190,FALSE
2012,2,DENMARK,EK,188733.17,13477,TRUE
2012,2,FINLAND,EF,177450.938,11505,FALSE
2012,2,FRANCE,LF,1414747.928,71657,FALSE
2012,2,GERMANY,ED,2050483.807,82099,FALSE
2012,2,GREECE,LG,88383.166,9342,FALSE
2012,2,HUNGARY,LH,34211.176,2801,FALSE
2012,2,ICELAND,BI,11846.124,1379,FALSE
2012,2,IRELAND,EI,114829.394,7570,FALSE
2012,2,ITALY,LI,782063.485,54955,FALSE
2012,2,KOSOVO,BK,5814.078,503,FALSE
2012,2,LATVIA,EV,21274.873,2325,FALSE
2012,2,LITHUANIA,EY,14662.365,1538,FALSE
2012,2,LUXEMBOURG,EL,89450.936,2084,FALSE
2012,2,MALTA,LM,17237.588,959,FALSE
2012,2,"MOLDOVA, REPUBLIC OF",LU,3766.134,400,FALSE
2012,2,MONACO,LN,25.128,35,FALSE
2012,2,MONTENEGRO,LY,2366.554,373,FALSE
2012,2,NETHERLANDS,EH,707910.271,19542,FALSE
2012,2,NORTH MACEDONIA,LW,2981.645,347,FALSE
2012,2,NORWAY,EN,198438.804,29847,TRUE
2012,2,POLAND,EP,104088.14,10966,FALSE
2012,2,PORTUGAL,LP,204466.818,9960,TRUE
2012,2,ROMANIA,LR,51860.771,4906,FALSE
2012,2,SERBIA,LY,13678.987000000001,1596,FALSE
2012,2,SLOVAKIA,LZ,6043.027,923,FALSE
2012,2,SLOVENIA,LJ,6528.463000000001,1088,FALSE
2012,2,SPAIN,LE,823976.97,46400,FALSE
2012,2,SWEDEN,ES,214814.388,22048,FALSE
2012,2,SWITZERLAND,LS,366388.275,20122,FALSE
2012,2,TÜRKIYE,LT,579574.331,29396,FALSE
2012,2,UNITED KINGDOM,EG,2263686.112,81984,TRUE
2012,3,ALBANIA,LA,6644.979,748,FALSE
2012,3,ARMENIA,UD,15658.187,783,FALSE
2012,3,AUSTRIA,LO,193511.554,16042,FALSE
2012,3,BELGIUM,EB,329876.452,13186,FALSE
2012,3,BOSNIA AND HERZEGOVINA,LQ,2056.0480000000002,419,FALSE
2012,3,BULGARIA,LB,26548.713,2135,FALSE
2012,3,CANARY ISLANDS,GC,284344.009,14841,FALSE
2012,3,CROATIA,LD,13362.724,2086,FALSE
2012,3,CYPRUS,LC,49925.373,1912,FALSE
2012,3,CZECHIA,LK,73789.439,6205,FALSE
2012,3,DENMARK,EK,211719.725,15315,TRUE
2012,3,FINLAND,EF,188852.286,12483,FALSE
2012,3,FRANCE,LF,1603309.034,83227,FALSE
2012,3,GERMANY,ED,2317995.93,96288,FALSE
2012,3,GREECE,LG,106808.083,10816,FALSE
2012,3,HUNGARY,LH,41905.108,3433,FALSE
2012,3,ICELAND,BI,13078.093,1472,FALSE
2012,3,IRELAND,EI,137892.258,8643,FALSE
2012,3,ITALY,LI,901874.374,64722,FALSE
2012,3,KOSOVO,BK,6653.671,568,FALSE
2012,3,LATVIA,EV,24684.918,2625,FALSE
2012,3,LITHUANIA,EY,16573.782,1714,FALSE
2012,3,LUXEMBOURG,EL,96447.209,2345,FALSE
2012,3,MALTA,LM,20101.495,1131,FALSE
2012,3,"MOLDOVA, REPUBLIC OF",LU,4191.727,487,FALSE
2012,3,MONACO,LN,35.749,52,FALSE
2012,3,MONTENEGRO,LY,3526.217,574,FALSE
2012,3,NETHERLANDS,EH,778445.251,22739,FALSE
2012,3,NORTH MACEDONIA,LW,3339.163,407,FALSE
2012,3,NORWAY,EN,234968.833,33938,TRUE
2012,3,POLAND,EP,120395.074,12542,FALSE
2012,3,PORTUGAL,LP,233688.961,11477,TRUE
2012,3,ROMANIA,LR,60983.992,5848,FALSE
2012,3,SERBIA,LY,15614.262,1898,FALSE
2012,3,SLOVAKIA,LZ,7344.97,1095,FALSE
2012,3,SLOVENIA,LJ,7293.112,1284,FALSE
2012,3,SPAIN,LE,972902.595,54414,FALSE
2012,3,SWEDEN,ES,243809.795,25015,FALSE
2012,3,SWITZERLAND,LS,400051.727,22506,FALSE
2012,3,TÜRKIYE,LT,675248.93,34063,FALSE
2012,3,UNITED KINGDOM,EG,2520293.847,91688,TRUE
2012,4,ALBANIA,LA,7189.96,750,FALSE
2012,4,ARMENIA,UD,18402.368000000002,884,FALSE
2012,4,AUSTRIA,LO,185998.402,15130,FALSE
2012,4,BELGIUM,EB,324562.885,13262,FALSE
2012,4,BOSNIA AND HERZEGOVINA,LQ,3063.309,491,FALSE
2012,4,BULGARIA,LB,27068.795,2229,FALSE
2012,4,CANARY ISLANDS,GC,252302.137,13293,FALSE
2012,4,CROATIA,LD,23639.822,3018,FALSE
2012,4,CYPRUS,LC,74953.887,2625,FALSE
2012,4,CZECHIA,LK,79812.324,6282,FALSE
2012,4,DENMARK,EK,201637.291,14539,TRUE
2012,4,FINLAND,EF,169300.61000000002,11534,FALSE
2012,4,FRANCE,LF,1624345.932,81155,FALSE
2012,4,GERMANY,ED,2323597.562,93738,FALSE
2012,4,GREECE,LG,166401.672,14199,FALSE
2012,4,HUNGARY,LH,47504.609,3878,FALSE
2012,4,ICELAND,BI,14546.713,1624,FALSE
2012,4,IRELAND,EI,159523.812,9407,FALSE
2012,4,ITALY,LI,979486.589,67609,FALSE
2012,4,KOSOVO,BK,8042.798000000001,641,FALSE
2012,4,LATVIA,EV,42023.517,3014,FALSE
2012,4,LIECHTENSTEIN,LS,0.5920000000000001,1,FALSE
2012,4,LITHUANIA,EY,17362.982,1820,FALSE
2012,4,LUXEMBOURG,EL,92026.095,2362,FALSE
2012,4,MALTA,LM,26453.893,1402,FALSE
2012,4,"MOLDOVA, REPUBLIC OF",LU,5679.692,602,FALSE
2012,4,MONACO,LN,35.364000000000004,51,FALSE
2012,4,MONTENEGRO,LY,4802.223,667,FALSE
2012,4,NETHERLANDS,EH,798956.207,22845,FALSE
2012,4,NORTH MACEDONIA,LW,3943.404,423,FALSE
2012,4,NORWAY,EN,213649.122,30549,TRUE
2012,4,POLAND,EP,136803.148,13582,FALSE
2012,4,PORTUGAL,LP,271542.707,13234,TRUE
2012,4,ROMANIA,LR,69104.48300000001,6259,FALSE
2012,4,SERBIA,LY,17422.705,1989,FALSE
2012,4,SLOVAKIA,LZ,8056.424,1094,FALSE
2012,4,SLOVENIA,LJ,9411.923,1306,FALSE
2012,4,SPAIN,LE,1110685.269,59396,FALSE
2012,4,SWEDEN,ES,225152.914,22691,FALSE
2012,4,SWITZERLAND,LS,384454.824,20439,FALSE
2012,4,TÜRKIYE,LT,763876.252,37803,FALSE
2012,4,UNITED KINGDOM,EG,2573386.871,93288,TRUE
2012,5,ALBANIA,LA,7241.472000000001,799,FALSE
2012,5,ARMENIA,UD,20000.769,945,FALSE
2012,5,AUSTRIA,LO,196138.35,16077,FALSE
