YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2017,1,ALBANIA,LA,8982.333,903,FALSE
2017,1,ARMENIA,UD,16297.374,786,FALSE
2017,1,AUSTRIA,LO,183550.212,12790,FALSE
2017,1,BELGIUM,EB,308095.362,12192,FALSE
2017,1,BOSNIA AND HERZEGOVINA,LQ,4171.743,471,FALSE
2017,1,BULGARIA,LB,42245.203,2647,FALSE
2017,1,CANARY ISLANDS,GC,347353.608,15528,FALSE
2017,1,CROATIA,LD,14299.288,2309,FALSE
2017,1,CYPRUS,LC,42888.334,1918,FALSE
2017,1,CZECHIA,LK,76454.286,5580,FALSE
2017,1,DENMARK,EK,218461.56,13397,TRUE
2017,1,FINLAND,EF,182992.892,9550,FALSE
2017,1,FRANCE,LF,1559692.251,68531,FALSE
2017,1,GEORGIA,UG,21681.099000000002,1127,FALSE
2017,1,GERMANY,ED,2208877.381,81500,FALSE
2017,1,GREECE,LG,113374.727,11105,FALSE
2017,1,HUNGARY,LH,56456.327,3823,FALSE
2017,1,ICELAND,BI,36650.881,1612,FALSE
2017,1,IRELAND,EI,182259.62,9785,FALSE
2017,1,ITALY,LI,899437.176,51743,FALSE
2017,1,KOSOVO,BK,7625.726000000001,566,FALSE
2017,1,LATVIA,EV,25581.374,2553,FALSE
2017,1,LITHUANIA,EY,22688.969,2106,FALSE
2017,1,LUXEMBOURG,EL,109732.316,2440,FALSE
2017,1,MALTA,LM,27700.551,1540,FALSE
2017,1,"MOLDOVA, REPUBLIC OF",LU,12060.037,922,FALSE
2017,1,MONACO,LN,10.106,17,FALSE
2017,1,MONTENEGRO,LY,4097.782,526,FALSE
2017,1,NETHERLANDS,EH,828761.566,22067,FALSE
2017,1,NORTH MACEDONIA,LW,7527.484,585,FALSE
2017,1,NORWAY,EN,222861.324,28428,TRUE
2017,1,POLAND,EP,179964.105,13768,FALSE
2017,1,PORTUGAL,LP,290402.19,14148,TRUE
2017,1,ROMANIA,LR,93704.509,7030,FALSE
2017,1,SERBIA,LY,27717.986,2362,FALSE
2017,1,SLOVAKIA,LZ,9316.208,982,FALSE
2017,1,SLOVENIA,LJ,6949.635,1091,FALSE
2017,1,SPAIN,LE,1006378.464,48105,FALSE
2017,1,SWEDEN,ES,254191.06,21057,FALSE
2017,1,SWITZERLAND,LS,438089.828,20471,FALSE
2017,1,TÜRKIYE,LT,899275.272,42371,FALSE
2017,1,UNITED KINGDOM,EG,2699335.537,90059,TRUE
2017,2,ALBANIA,LA,7608.015,786,FALSE
2017,2,ARMENIA,UD,12901.671,617,FALSE
2017,2,AUSTRIA,LO,170174.598,12226,FALSE
2017,2,BELGIUM,EB,279876.629,11621,FALSE
2017,2,BOSNIA AND HERZEGOVINA,LQ,4850.127,436,FALSE
2017,2,BULGARIA,LB,37412.722,2529,FALSE
2017,2,CANARY ISLANDS,GC,312257.835,14159,FALSE
2017,2,CROATIA,LD,12939.606,2319,FALSE
2017,2,CYPRUS,LC,42426.203,1851,FALSE
2017,2,CZECHIA,LK,68102.51,5169,FALSE
2017,2,DENMARK,EK,203729.25,12918,TRUE
2017,2,FINLAND,EF,170338.604,9303,FALSE
2017,2,FRANCE,LF,1436033.259,66954,FALSE
2017,2,GEORGIA,UG,19976.345,1005,FALSE
2017,2,GERMANY,ED,2043669.423,80228,FALSE
2017,2,GREECE,LG,99351.865,10096,FALSE
2017,2,HUNGARY,LH,51562.806,3556,FALSE
2017,2,ICELAND,BI,33672.664,1569,FALSE
2017,2,IRELAND,EI,163594.79,9028,FALSE
2017,2,ITALY,LI,808412.794,48161,FALSE
2017,2,KOSOVO,BK,6245.689,478,FALSE
2017,2,LATVIA,EV,23945.121,2367,FALSE
2017,2,LITHUANIA,EY,20043.05,1906,FALSE
2017,2,LUXEMBOURG,EL,104569.68000000001,2367,FALSE
2017,2,MALTA,LM,24163.166,1433,FALSE
2017,2,"MOLDOVA, REPUBLIC OF",LU,10391.838,815,FALSE
2017,2,MONACO,LN,8.938,14,FALSE
2017,2,MONTENEGRO,LY,3645.223,466,FALSE
2017,2,NETHERLANDS,EH,755464.432,20936,FALSE
2017,2,NORTH MACEDONIA,LW,6381.329000000001,496,FALSE
2017,2,NORWAY,EN,212803.748,27144,TRUE
2017,2,POLAND,EP,161367.052,12923,FALSE
2017,2,PORTUGAL,LP,264537.073,13007,TRUE
2017,2,ROMANIA,LR,83745.296,6555,FALSE
2017,2,SERBIA,LY,24251.286,2069,FALSE
2017,2,SLOVAKIA,LZ,8428.776,948,FALSE
2017,2,SLOVENIA,LJ,6518.3330000000005,1088,FALSE
2017,2,SPAIN,LE,938418.637,46551,FALSE
2017,2,SWEDEN,ES,241846.019,21349,FALSE
2017,2,SWITZERLAND,LS,395794.082,19305,FALSE
2017,2,TÜRKIYE,LT,843357.092,41390,FALSE
2017,2,UNITED KINGDOM,EG,2490715.043,87231,TRUE
2017,3,ALBANIA,LA,8503.752,871,FALSE
2017,3,ARMENIA,UD,17331.649,839,FALSE
2017,3,AUSTRIA,LO,194541.726,14276,FALSE
2017,3,BELGIUM,EB,333042.376,13638,FALSE
2017,3,BOSNIA AND HERZEGOVINA,LQ,5698.68,568,FALSE
2017,3,BULGARIA,LB,41844.093,2768,FALSE
2017,3,CANARY ISLANDS,GC,342676.04,15879,FALSE
2017,3,CROATIA,LD,16884.561999999998,3160,FALSE
2017,3,CYPRUS,LC,55508.951,2338,FALSE
2017,3,CZECHIA,LK,82313.185,6401,FALSE
2017,3,DENMARK,EK,233475.984,15815,TRUE
2017,3,FINLAND,EF,187107.832,10425,FALSE
2017,3,FRANCE,LF,1635475.834,78291,FALSE
2017,3,GEORGIA,UG,25277.792,1290,FALSE
2017,3,GERMANY,ED,2379769.25,94443,FALSE
2017,3,GREECE,LG,129071.186,12255,FALSE
2017,3,HUNGARY,LH,61102.336,4249,FALSE
2017,3,ICELAND,BI,41632.590000000004,2055,FALSE
2017,3,IRELAND,EI,202861.234,10785,FALSE
2017,3,ITALY,LI,957299.688,57329,FALSE
2017,3,KOSOVO,BK,7279.4130000000005,543,FALSE
2017,3,LATVIA,EV,28646.561999999998,2759,FALSE
2017,3,LITHUANIA,EY,23857.038,2279,FALSE
2017,3,LUXEMBOURG,EL,129711.532,2807,FALSE
2017,3,MALTA,LM,29703.028,1788,FALSE
2017,3,"MOLDOVA, REPUBLIC OF",LU,11557.876,908,FALSE
2017,3,MONACO,LN,16.832,23,FALSE
2017,3,MONTENEGRO,LY,4514.883,561,FALSE
2017,3,NETHERLANDS,EH,881942.503,25393,FALSE
2017,3,NORTH MACEDONIA,LW,7547.669000000001,594,FALSE
2017,3,NORWAY,EN,250115.352,32076,TRUE
2017,3,POLAND,EP,187153.457,15253,FALSE
2017,3,PORTUGAL,LP,314532.213,15254,TRUE
2017,3,ROMANIA,LR,98803.689,7773,FALSE
2017,3,SERBIA,LY,28531.494,2498,FALSE
2017,3,SLOVAKIA,LZ,9855.177,1201,FALSE
2017,3,SLOVENIA,LJ,7655.338000000001,1380,FALSE
2017,3,SPAIN,LE,1127519.127,56453,FALSE
2017,3,SWEDEN,ES,282322.31,25887,FALSE
2017,3,SWITZERLAND,LS,448099.915,21953,FALSE
2017,3,TÜRKIYE,LT,978216.045,47099,FALSE
2017,3,UNITED KINGDOM,EG,2838957.746,100130,TRUE
2017,4,ALBANIA,LA,9244.156,891,FALSE
2017,4,ARMENIA,UD,19023.446,879,FALSE
2017,4,AUSTRIA,LO,204070.836,13803,FALSE
2017,4,BELGIUM,EB,356237.568,13887,FALSE
2017,4,BOSNIA AND HERZEGOVINA,LQ,7838.83,726,FALSE
2017,4,BULGARIA,LB,43304.848,2955,FALSE
2017,4,CANARY ISLANDS,GC,334523.527,15466,FALSE
2017,4,CROATIA,LD,32748.438000000002,3606,FALSE
2017,4,CYPRUS,LC,80478.288,3246,FALSE
2017,4,CZECHIA,LK,92455.624,6789,FALSE
2017,4,DENMARK,EK,231121.905,14920,TRUE
2017,4,ESTONIA,EE,15023.122,1837,FALSE
2017,4,FINLAND,EF,175286.885,9735,FALSE
2017,4,FRANCE,LF,1748476.716,82341,FALSE
2017,4,GEORGIA,UG,27768.59,1405,FALSE
2017,4,GERMANY,ED,2451842.472,95496,FALSE
2017,4,GREECE,LG,214548.683,16255,FALSE
2017,4,HUNGARY,LH,66051.835,4541,FALSE
2017,4,ICELAND,BI,44950.63,1869,FALSE
2017,4,IRELAND,EI,232501.218,11362,FALSE
2017,4,ITALY,LI,1086155.991,63134,FALSE
2017,4,KOSOVO,BK,9505.627,706,FALSE
2017,4,LATVIA,EV,30713.584,2965,FALSE
2017,4,LITHUANIA,EY,28854.646,2464,FALSE
2017,4,LUXEMBOURG,EL,132297.462,2984,FALSE
2017,4,MALTA,LM,37275.5,2137,FALSE
2017,4,"MOLDOVA, REPUBLIC OF",LU,14225.003,1041,FALSE
2017,4,MONACO,LN,18.148,28,FALSE
2017,4,MONTENEGRO,LY,7191.026000000001,759,FALSE
2017,4,NETHERLANDS,EH,934832.281,26823,FALSE
2017,4,NORTH MACEDONIA,LW,8464.257,657,FALSE
2017,4,NORWAY,EN,235721.325,28388,TRUE
2017,4,POLAND,EP,191988.697,15519,FALSE
2017,4,PORTUGAL,LP,368991.105,18205,TRUE
2017,4,ROMANIA,LR,107530.444,7988,FALSE
2017,4,SERBIA,LY,30617.33,2646,FALSE
