FLIGHT_MONTH,YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2022-01-01,2022,1,ALBANIA,LA,14642.8632,1121,FALSE
2022-01-01,2022,1,ARMENIA,UD,18198.3816,877,FALSE
2022-01-01,2022,1,AUSTRIA,LO,135688.7615,8619,FALSE
2022-01-01,2022,1,BELGIUM,EB,366212.18295,9223,FALSE
2022-01-01,2022,1,BOSNIA AND HERZEGOVINA,LQ,6383.0436,564,FALSE
2022-01-01,2022,1,BULGARIA,LB,39532.48655,2164,FALSE
2022-01-01,2022,1,CANARY ISLANDS,GC,277123.7534,14688,FALSE
2022-01-01,2022,1,CROATIA,LD,14489.95405,2015,FALSE
2022-01-01,2022,1,CYPRUS,LC,35841.9536,1745,FALSE
2022-01-01,2022,1,CZECHIA,LK,44020.73975,3254,FALSE
2022-01-01,2022,1,DENMARK,EK,145972.6762,8809,TRUE
2022-01-01,2022,1,ESTONIA,EE,19244.744899999998,1404,FALSE
2022-01-01,2022,1,FINLAND,EF,139348.1354,6943,FALSE
2022-01-01,2022,1,FRANCE,LF,1162921.60245,50976,FALSE
2022-01-01,2022,1,GEORGIA,UG,36190.09035,1276,FALSE
2022-01-01,2022,1,GERMANY,ED,1572543.9063,51607,FALSE
2022-01-01,2022,1,GREECE,LG,101265.0367,9864,FALSE
2022-01-01,2022,1,HUNGARY,LH,57618.77805,3317,FALSE
2022-01-01,2022,1,ICELAND,BI,15563.27845,1108,FALSE
2022-01-01,2022,1,IRELAND,EI,140955.89765,6746,FALSE
2022-01-01,2022,1,ITALY,LI,622622.3978,41617,FALSE
2022-01-01,2022,1,KOSOVO,BK,12140.63235,843,FALSE
2022-01-01,2022,1,LATVIA,EV,25355.074500000002,1938,FALSE
2022-01-01,2022,1,LITHUANIA,EY,22201.1026,1690,FALSE
2022-01-01,2022,1,LUXEMBOURG,EL,163220.8579,1960,FALSE
2022-01-01,2022,1,MALTA,LM,17349.65235,1176,FALSE
2022-01-01,2022,1,"MOLDOVA, REPUBLIC OF",LU,11920.1409,741,FALSE
2022-01-01,2022,1,MONACO,LN,18.00855,27,FALSE
2022-01-01,2022,1,MONTENEGRO,LY,2850.70765,424,FALSE
2022-01-01,2022,1,NETHERLANDS,EH,656754.4547,17904,FALSE
2022-01-01,2022,1,NORTH MACEDONIA,LW,7442.788500000001,536,FALSE
2022-01-01,2022,1,NORWAY,EN,144708.4162,20783,TRUE
2022-01-01,2022,1,POLAND,EP,163158.7419,11461,FALSE
2022-01-01,2022,1,PORTUGAL,LP,262083.29875,12533,TRUE
2022-01-01,2022,1,ROMANIA,LR,74725.55815,5617,FALSE
2022-01-01,2022,1,SERBIA,LY,24852.6866,2197,FALSE
2022-01-01,2022,1,SLOVAKIA,LZ,5180.647,602,FALSE
2022-01-01,2022,1,SLOVENIA,LJ,4526.44435,677,FALSE
2022-01-01,2022,1,SPAIN,LE,839824.4775,42079,FALSE
2022-01-01,2022,1,SWEDEN,ES,144162.20555,11430,FALSE
2022-01-01,2022,1,SWITZERLAND,LS,286948.28855,14234,FALSE
2022-01-01,2022,1,TÜRKIYE,LT,888403.89625,35838,FALSE
2022-01-01,2022,1,UNITED KINGDOM,EG,1597470.2128,49533,TRUE
2022-02-01,2022,2,ALBANIA,LA,11565.54,908,FALSE
2022-02-01,2022,2,ARMENIA,UD,13796.34735,691,FALSE
2022-02-01,2022,2,AUSTRIA,LO,115089.5303,8183,FALSE
2022-02-01,2022,2,BELGIUM,EB,340018.32125,9107,FALSE
2022-02-01,2022,2,BOSNIA AND HERZEGOVINA,LQ,4210.29245,418,FALSE
2022-02-01,2022,2,BULGARIA,LB,31700.12385,1964,FALSE
2022-02-01,2022,2,CANARY ISLANDS,GC,254354.1222,14026,FALSE
2022-02-01,2022,2,CROATIA,LD,13096.48985,1948,FALSE
2022-02-01,2022,2,CYPRUS,LC,34838.73555,1732,FALSE
2022-02-01,2022,2,CZECHIA,LK,41196.86055,3376,FALSE
2022-02-01,2022,2,DENMARK,EK,134224.2603,8714,TRUE
2022-02-01,2022,2,ESTONIA,EE,12124.92655,1255,FALSE
2022-02-01,2022,2,FINLAND,EF,124760.3576,6329,FALSE
2022-02-01,2022,2,FRANCE,LF,1088758.3015,52663,FALSE
2022-02-01,2022,2,GEORGIA,UG,28534.39195,1112,FALSE
2022-02-01,2022,2,GERMANY,ED,1431052.55885,50702,FALSE
2022-02-01,2022,2,GREECE,LG,91189.9144,9415,FALSE
2022-02-01,2022,2,HUNGARY,LH,53157.7921,3216,FALSE
2022-02-01,2022,2,ICELAND,BI,17377.53265,1310,FALSE
2022-02-01,2022,2,IRELAND,EI,136012.7844,7083,FALSE
2022-02-01,2022,2,ITALY,LI,565797.146,40230,FALSE
2022-02-01,2022,2,KOSOVO,BK,8543.486700000001,595,FALSE
2022-02-01,2022,2,LATVIA,EV,22282.48705,1679,FALSE
2022-02-01,2022,2,LITHUANIA,EY,20650.2405,1681,FALSE
2022-02-01,2022,2,LUXEMBOURG,EL,136354.37625,2069,FALSE
2022-02-01,2022,2,MALTA,LM,17136.96535,1208,FALSE
2022-02-01,2022,2,"MOLDOVA, REPUBLIC OF",LU,6886.00425,482,FALSE
2022-02-01,2022,2,MONACO,LN,18.53775,30,FALSE
2022-02-01,2022,2,MONTENEGRO,LY,2738.7124000000003,412,FALSE
2022-02-01,2022,2,NETHERLANDS,EH,594833.90775,17377,FALSE
2022-02-01,2022,2,NORTH MACEDONIA,LW,5133.29425,409,FALSE
2022-02-01,2022,2,NORWAY,EN,135981.58245,19664,TRUE
2022-02-01,2022,2,POLAND,EP,151247.39485,10587,FALSE
2022-02-01,2022,2,PORTUGAL,LP,240494.0912,12175,TRUE
2022-02-01,2022,2,ROMANIA,LR,62362.9396,5085,FALSE
2022-02-01,2022,2,SERBIA,LY,21147.23235,1836,FALSE
2022-02-01,2022,2,SLOVAKIA,LZ,5661.4264,669,FALSE
2022-02-01,2022,2,SLOVENIA,LJ,4103.1455000000005,645,FALSE
2022-02-01,2022,2,SPAIN,LE,796887.38275,41505,FALSE
2022-02-01,2022,2,SWEDEN,ES,122309.82005,10785,FALSE
2022-02-01,2022,2,SWITZERLAND,LS,262448.9837,14218,FALSE
2022-02-01,2022,2,TÜRKIYE,LT,826540.972,33874,FALSE
2022-02-01,2022,2,UNITED KINGDOM,EG,1522647.46045,53708,TRUE
2022-03-01,2022,3,ALBANIA,LA,15527.98485,1163,FALSE
2022-03-01,2022,3,ARMENIA,UD,21144.32775,1036,FALSE
2022-03-01,2022,3,AUSTRIA,LO,147017.1681,10503,FALSE
2022-03-01,2022,3,BELGIUM,EB,414306.5019,11480,FALSE
2022-03-01,2022,3,BOSNIA AND HERZEGOVINA,LQ,6741.65775,674,FALSE
2022-03-01,2022,3,BULGARIA,LB,36997.9874,2360,FALSE
2022-03-01,2022,3,CANARY ISLANDS,GC,302121.12195,16860,FALSE
2022-03-01,2022,3,CROATIA,LD,18436.22295,2518,FALSE
2022-03-01,2022,3,CYPRUS,LC,46783.58545,2274,FALSE
2022-03-01,2022,3,CZECHIA,LK,52816.8456,4275,FALSE
2022-03-01,2022,3,DENMARK,EK,161188.0861,11210,TRUE
2022-03-01,2022,3,ESTONIA,EE,14640.01495,1585,FALSE
2022-03-01,2022,3,FINLAND,EF,130950.2462,7262,FALSE
2022-03-01,2022,3,FRANCE,LF,1317730.44595,65057,FALSE
2022-03-01,2022,3,GEORGIA,UG,39138.8508,1447,FALSE
2022-03-01,2022,3,GERMANY,ED,1777866.48465,66714,FALSE
2022-03-01,2022,3,GREECE,LG,123529.8427,11617,FALSE
2022-03-01,2022,3,HUNGARY,LH,67861.36535,4004,FALSE
2022-03-01,2022,3,ICELAND,BI,20531.8201,1608,FALSE
2022-03-01,2022,3,IRELAND,EI,192638.1495,9582,FALSE
2022-03-01,2022,3,ITALY,LI,736034.79945,51040,FALSE
2022-03-01,2022,3,KOSOVO,BK,10504.4877,730,FALSE
2022-03-01,2022,3,LATVIA,EV,24732.89745,1982,FALSE
2022-03-01,2022,3,LITHUANIA,EY,26990.12975,2083,FALSE
2022-03-01,2022,3,LUXEMBOURG,EL,168238.3775,2599,FALSE
2022-03-01,2022,3,MALTA,LM,25687.89425,1730,FALSE
2022-03-01,2022,3,"MOLDOVA, REPUBLIC OF",LU,1955.70545,152,FALSE
2022-03-01,2022,3,MONACO,LN,20.90025,31,FALSE
2022-03-01,2022,3,MONTENEGRO,LY,3694.05855,523,FALSE
