YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2011,1,ALBANIA,LA,8244.012,834,FALSE
2011,1,ARMENIA,UD,14519.333,727,FALSE
2011,1,AUSTRIA,LO,183567.87,14789,FALSE
2011,1,BELGIUM,EB,324609.016,12309,FALSE
2011,1,BOSNIA AND HERZEGOVINA,LQ,2437.454,428,FALSE
2011,1,BULGARIA,LB,30837.814,2247,FALSE
2011,1,CANARY ISLANDS,GC,265553.73,13537,FALSE
2011,1,CROATIA,LD,12145.893,1879,FALSE
2011,1,CYPRUS,LC,46959.847,1795,FALSE
2011,1,CZECHIA,LK,74476.88,6129,FALSE
2011,1,DENMARK,EK,194567.546,13730,TRUE
2011,1,FINLAND,EF,187165.494,11827,FALSE
2011,1,FRANCE,LF,1557157.031,74879,FALSE
2011,1,GERMANY,ED,2220350.171,86276,FALSE
2011,1,GREECE,LG,122300.903,11306,FALSE
2011,1,HUNGARY,LH,47689.691,4106,FALSE
2011,1,ICELAND,BI,11565.805,1167,FALSE
2011,1,IRELAND,EI,135531.763,8733,FALSE
2011,1,ITALY,LI,932843.315,62024,FALSE
2011,1,KOSOVO,BK,8336.222,658,FALSE
2011,1,LATVIA,EV,25972.613,2600,FALSE
2011,1,LITHUANIA,EY,12467.911,1469,FALSE
2011,1,LUXEMBOURG,EL,90166.767,2120,FALSE
2011,1,MALTA,LM,19667.407,1055,FALSE
2011,1,"MOLDOVA, REPUBLIC OF",LU,5583.55,541,FALSE
2011,1,MONACO,LN,12.719000000000001,40,FALSE
2011,1,MONTENEGRO,LY,4458.634,590,FALSE
2011,1,NETHERLANDS,EH,749606.803,19854,FALSE
2011,1,NORTH MACEDONIA,LW,3586.994,389,FALSE
2011,1,NORWAY,EN,197870.6,29047,TRUE
2011,1,POLAND,EP,112206.058,10691,FALSE
2011,1,PORTUGAL,LP,229362.815,11356,TRUE
2011,1,ROMANIA,LR,67323.275,6109,FALSE
2011,1,SERBIA,LY,15344.249,1674,FALSE
2011,1,SLOVAKIA,LZ,7388.787,1064,FALSE
2011,1,SLOVENIA,LJ,6983.209000000001,1241,FALSE
2011,1,SPAIN,LE,991393.463,54131,FALSE
2011,1,SWEDEN,ES,229816.516,19706,FALSE
2011,1,SWITZERLAND,LS,391509.649,20951,FALSE
2011,1,TÜRKIYE,LT,548175.449,28945,FALSE
2011,1,UNITED KINGDOM,EG,2471190.412,85782,TRUE
2011,2,ALBANIA,LA,6688.871,693,FALSE
2011,2,ARMENIA,UD,12514.178,628,FALSE
2011,2,AUSTRIA,LO,170751.825,14449,FALSE
