FLIGHT_MONTH,YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2019-01-01,2019,1,ALBANIA,LA,10895.621,987,FALSE
2019-01-01,2019,1,ARMENIA,UD,18597.138,979,FALSE
2019-01-01,2019,1,AUSTRIA,LO,219501.064,13748,FALSE
2019-01-01,2019,1,BELGIUM,EB,370106.997,12627,FALSE
2019-01-01,2019,1,BOSNIA AND HERZEGOVINA,LQ,5776.506,583,FALSE
2019-01-01,2019,1,BULGARIA,LB,43230.834,2795,FALSE
2019-01-01,2019,1,CANARY ISLANDS,GC,339365.966,17644,FALSE
2019-01-01,2019,1,CROATIA,LD,18135.72,2331,FALSE
2019-01-01,2019,1,CYPRUS,LC,46901.067,2039,FALSE
2019-01-01,2019,1,CZECHIA,LK,84870.843,5688,FALSE
2019-01-01,2019,1,DENMARK,EK,236863.743,13594,TRUE
2019-01-01,2019,1,ESTONIA,EE,15412.012999999999,1895,FALSE
2019-01-01,2019,1,FINLAND,EF,219417.596,11253,FALSE
2019-01-01,2019,1,FRANCE,LF,1683623.701,70305,FALSE
2019-01-01,2019,1,GEORGIA,UG,34488.037,1716,FALSE
2019-01-01,2019,1,GERMANY,ED,2351235.177,87147,FALSE
2019-01-01,2019,1,GREECE,LG,136161.84,12209,FALSE
2019-01-01,2019,1,HUNGARY,LH,72386.129,4636,FALSE
2019-01-01,2019,1,ICELAND,BI,36940.649,1764,FALSE
2019-01-01,2019,1,IRELAND,EI,219823.46,10493,FALSE
2019-01-01,2019,1,ITALY,LI,1021526.39,56499,FALSE
2019-01-01,2019,1,KOSOVO,BK,9717.496000000001,725,FALSE
2019-01-01,2019,1,LATVIA,EV,34493.75,3139,FALSE
2019-01-01,2019,1,LITHUANIA,EY,28709.419,2389,FALSE
2019-01-01,2019,1,LUXEMBOURG,EL,136674.797,2729,FALSE
2019-01-01,2019,1,MALTA,LM,30665.519,1886,FALSE
2019-01-01,2019,1,"MOLDOVA, REPUBLIC OF",LU,13654.738000000001,977,FALSE
2019-01-01,2019,1,MONACO,LN,11.74,17,FALSE
2019-01-01,2019,1,MONTENEGRO,LY,5158.74,603,FALSE
2019-01-01,2019,1,NETHERLANDS,EH,861054.277,23187,FALSE
2019-01-01,2019,1,NORTH MACEDONIA,LW,9164.31,680,FALSE
2019-01-01,2019,1,NORWAY,EN,241299.211,28185,TRUE
2019-01-01,2019,1,POLAND,EP,227349.833,16303,FALSE
2019-01-01,2019,1,PORTUGAL,LP,352422.619,15856,TRUE
2019-01-01,2019,1,ROMANIA,LR,108472.64,7654,FALSE
2019-01-01,2019,1,SERBIA,LY,28261.288,2475,FALSE
2019-01-01,2019,1,SLOVAKIA,LZ,10726.651,1065,FALSE
2019-01-01,2019,1,SLOVENIA,LJ,8334.247000000001,1263,FALSE
2019-01-01,2019,1,SPAIN,LE,1203517.492,55461,FALSE
2019-01-01,2019,1,SWEDEN,ES,264669.542,20936,FALSE
2019-01-01,2019,1,SWITZERLAND,LS,472737.081,20612,FALSE
2019-01-01,2019,1,TÜRKIYE,LT,1083572.616,47825,FALSE
2019-01-01,2019,1,UNITED KINGDOM,EG,2833445.281,90031,TRUE
2019-02-01,2019,2,ALBANIA,LA,9184.611,841,FALSE
2019-02-01,2019,2,ARMENIA,UD,14635.82,784,FALSE
2019-02-01,2019,2,AUSTRIA,LO,206375.774,13581,FALSE
2019-02-01,2019,2,BELGIUM,EB,321350.523,11328,FALSE
2019-02-01,2019,2,BOSNIA AND HERZEGOVINA,LQ,5220.069,529,FALSE
2019-02-01,2019,2,BULGARIA,LB,39473.854999999996,2602,FALSE
2019-02-01,2019,2,CANARY ISLANDS,GC,297888.361,15862,FALSE
2019-02-01,2019,2,CROATIA,LD,17070.608,2227,FALSE
2019-02-01,2019,2,CYPRUS,LC,44807.413,1923,FALSE
2019-02-01,2019,2,CZECHIA,LK,77135.466,5409,FALSE
2019-02-01,2019,2,DENMARK,EK,219906.494,13183,TRUE
2019-02-01,2019,2,ESTONIA,EE,14138.037,1710,FALSE
2019-02-01,2019,2,FINLAND,EF,200931.881,10662,FALSE
2019-02-01,2019,2,FRANCE,LF,1531815.247,67395,FALSE
2019-02-01,2019,2,GEORGIA,UG,30610.157,1505,FALSE
2019-02-01,2019,2,GERMANY,ED,2151930.929,85854,FALSE
2019-02-01,2019,2,GREECE,LG,123364.266,10964,FALSE
2019-02-01,2019,2,HUNGARY,LH,66164.191,4305,FALSE
2019-02-01,2019,2,ICELAND,BI,29928.376,1625,FALSE
2019-02-01,2019,2,IRELAND,EI,194519.412,9820,FALSE
2019-02-01,2019,2,ITALY,LI,926249.558,53250,FALSE
2019-02-01,2019,2,KOSOVO,BK,7539.148,590,FALSE
2019-02-01,2019,2,LATVIA,EV,30301.811,2780,FALSE
2019-02-01,2019,2,LITHUANIA,EY,25707.144,2198,FALSE
2019-02-01,2019,2,LUXEMBOURG,EL,125203.216,2621,FALSE
2019-02-01,2019,2,MALTA,LM,28093.056,1756,FALSE
2019-02-01,2019,2,"MOLDOVA, REPUBLIC OF",LU,11424.836,866,FALSE
2019-02-01,2019,2,MONACO,LN,15.669,24,FALSE
2019-02-01,2019,2,MONTENEGRO,LY,4520.02,550,FALSE
2019-02-01,2019,2,NETHERLANDS,EH,781641.64,22518,FALSE
2019-02-01,2019,2,NORTH MACEDONIA,LW,7922.08,593,FALSE
2019-02-01,2019,2,NORWAY,EN,224406.965,26614,TRUE
2019-02-01,2019,2,POLAND,EP,210743.227,15382,FALSE
2019-02-01,2019,2,PORTUGAL,LP,311700.799,14380,TRUE
2019-02-01,2019,2,ROMANIA,LR,95121.437,7074,FALSE
2019-02-01,2019,2,SERBIA,LY,24998.495,2250,FALSE
2019-02-01,2019,2,SLOVAKIA,LZ,10384.592,1080,FALSE
2019-02-01,2019,2,SLOVENIA,LJ,7824.161,1233,FALSE
2019-02-01,2019,2,SPAIN,LE,1109504.145,52793,FALSE
2019-02-01,2019,2,SWEDEN,ES,243842.438,20228,FALSE
2019-02-01,2019,2,SWITZERLAND,LS,426740.053,19546,FALSE
2019-02-01,2019,2,TÜRKIYE,LT,981700.508,43200,FALSE
2019-02-01,2019,2,UNITED KINGDOM,EG,2586421.421,86622,TRUE
2019-03-01,2019,3,ALBANIA,LA,10184.113,925,FALSE
2019-03-01,2019,3,ARMENIA,UD,16968.048000000003,916,FALSE
2019-03-01,2019,3,AUSTRIA,LO,257129.458,15809,FALSE
2019-03-01,2019,3,BELGIUM,EB,392326.136,13189,FALSE
2019-03-01,2019,3,BOSNIA AND HERZEGOVINA,LQ,6179.1,638,FALSE
2019-03-01,2019,3,BULGARIA,LB,44049.93,2839,FALSE
2019-03-01,2019,3,CANARY ISLANDS,GC,347973.24,18389,FALSE
2019-03-01,2019,3,CROATIA,LD,21392.877,2677,FALSE
2019-03-01,2019,3,CYPRUS,LC,58219.129,2430,FALSE
2019-03-01,2019,3,CZECHIA,LK,93554.445,6453,FALSE
2019-03-01,2019,3,DENMARK,EK,259038.749,15539,TRUE
2019-03-01,2019,3,ESTONIA,EE,16022.744999999999,1917,FALSE
2019-03-01,2019,3,FINLAND,EF,226857.088,12068,FALSE
2019-03-01,2019,3,FRANCE,LF,1760003.67,78057,FALSE
2019-03-01,2019,3,GEORGIA,UG,38081.741,1855,FALSE
2019-03-01,2019,3,GERMANY,ED,2529401.158,95876,FALSE
2019-03-01,2019,3,GREECE,LG,146762.608,13005,FALSE
2019-03-01,2019,3,HUNGARY,LH,79551.856,5000,FALSE
2019-03-01,2019,3,ICELAND,BI,38639.575,1773,FALSE
2019-03-01,2019,3,IRELAND,EI,237558.597,11251,FALSE
2019-03-01,2019,3,ITALY,LI,1085810.869,60620,FALSE
2019-03-01,2019,3,KOSOVO,BK,8665.595000000001,679,FALSE
2019-03-01,2019,3,LATVIA,EV,35659.304000000004,3191,FALSE
2019-03-01,2019,3,LITHUANIA,EY,27950.63,2407,FALSE
2019-03-01,2019,3,LUXEMBOURG,EL,151311.671,3001,FALSE
2019-03-01,2019,3,MALTA,LM,34319.011,2129,FALSE
2019-03-01,2019,3,"MOLDOVA, REPUBLIC OF",LU,13143.454,991,FALSE
2019-03-01,2019,3,MONACO,LN,30.425,44,FALSE
2019-03-01,2019,3,MONTENEGRO,LY,5532.091,653,FALSE
2019-03-01,2019,3,NETHERLANDS,EH,899493.138,25531,FALSE
2019-03-01,2019,3,NORTH MACEDONIA,LW,9200.918,695,FALSE
2019-03-01,2019,3,NORWAY,EN,261215.746,30027,TRUE
2019-03-01,2019,3,POLAND,EP,234769.22,17207,FALSE
2019-03-01,2019,3,PORTUGAL,LP,365707.97000000003,16818,TRUE
2019-03-01,2019,3,ROMANIA,LR,104632.607,7855,FALSE
2019-03-01,2019,3,SERBIA,LY,28353.148,2525,FALSE
2019-03-01,2019,3,SLOVAKIA,LZ,11509.787,1272,FALSE
2019-03-01,2019,3,SLOVENIA,LJ,8762.22,1373,FALSE
2019-03-01,2019,3,SPAIN,LE,1290444.556,61457,FALSE
2019-03-01,2019,3,SWEDEN,ES,284791.097,23537,FALSE
2019-03-01,2019,3,SWITZERLAND,LS,484734.866,21679,FALSE
2019-03-01,2019,3,TÜRKIYE,LT,1134566.687,48966,FALSE
2019-03-01,2019,3,UNITED KINGDOM,EG,2938482.027,97719,TRUE
2019-04-01,2019,4,ALBANIA,LA,12340.132,1088,FALSE
2019-04-01,2019,4,ARMENIA,UD,17168.766,882,FALSE
2019-04-01,2019,4,AUSTRIA,LO,273207.293,15677,FALSE
2019-04-01,2019,4,BELGIUM,EB,407587.498,14450,FALSE
2019-04-01,2019,4,BOSNIA AND HERZEGOVINA,LQ,9074.437,822,FALSE
2019-04-01,2019,4,BULGARIA,LB,47262.183,3074,FALSE
2019-04-01,2019,4,CANARY ISLANDS,GC,299940.721,16902,FALSE
2019-04-01,2019,4,CROATIA,LD,48856.58,4533,FALSE
2019-04-01,2019,4,CYPRUS,LC,82772.984,3376,FALSE
2019-04-01,2019,4,CZECHIA,LK,102343.033,6833,FALSE
2019-04-01,2019,4,DENMARK,EK,244553.276,15242,TRUE
2019-04-01,2019,4,ESTONIA,EE,17328.218,2082,FALSE
2019-04-01,2019,4,FINLAND,EF,215423.514,11103,FALSE
2019-04-01,2019,4,FRANCE,LF,1880074.202,85776,FALSE
2019-04-01,2019,4,GEORGIA,UG,40488.346,2014,FALSE
2019-04-01,2019,4,GERMANY,ED,2579118.639,101193,FALSE
2019-04-01,2019,4,GREECE,LG,265522.424,18856,FALSE
2019-04-01,2019,4,HUNGARY,LH,89338.448,5445,FALSE
2019-04-01,2019,4,ICELAND,BI,34026.999,1639,FALSE
